protein_ids	protein_names	gene_names	uniprot_ids	refset_protein_ids	refseq_mrna_id	ensembl_id	mgi_id	protein_length	protein_copynumber	protein_halflife	mrna_copynumber	mrna_halflife	transcription_rate	translation_rate
IPI00330363.8;IPI00622160.3;IPI00462453.4;IPI00354363.3;IPI00265107.4;IPI00462006.3;IPI00278580.6;IPI00461356.1;IPI00875556.1;IPI00661216.1;IPI00849084.1	60S ribosomal protein L7a;Surfeit locus protein 3	Rpl7a;Surf-3;Surf3	P12970;Q58ET1;Q5EBG5;Q6P1A9;Q80UT7	NP_038749;XP_990387;XP_001480775;XP_486245;XP_001473483;XP_001473506;XP_001473524;XP_001474976;XP_892272;XP_911331;XP_903693;XP_926227;XP_001481210;XP_982574;XP_146939;XP_984805	NM_013721	ENSMUST00000085282;ENSMUST00000102898	MGI:1353472	266	10334236.6	127.29	"NA"	9.5800000000000001	50.759999999999998	"NA"
IPI00474637.4;IPI00849598.1;IPI00775915.1;IPI00915054.1;IPI00112024.2	60S ribosomal protein L10;Protein QM homolog;Putative uncharacterized protein	Rpl10;Qm	Q6ZWV3;Q3THJ6	NP_443067;XP_001479819;XP_001479953;XP_001480054;XP_001480060;XP_001477392;XP_001477595;XP_134291;XP_919133	NA	ENSMUST00000008826;ENSMUST00000074085	MGI:105943;MGI:105943	214	9172738.27	30.96	"NA"	"NA"	"NA"	"NA"
IPI00751369.1;IPI00319994.6;IPI00756114.1;IPI00754398.1;IPI00467457.3;IPI00881151.1;IPI00881267.1	L-lactate dehydrogenase;L-lactate dehydrogenase A chain;LDH muscle subunit;Ldha protein	Ldha;Ldh1;Ldh-1	Q3TCI7;Q3THB4;Q3TI99;P06151;Q3UDU4;Q3UIC3;Q564E2;Q99K20;Q6NXW3	NP_001129541;NP_034829	NM_001136069	ENSMUST00000005051;ENSMUST00000048209;ENSMUST00000107634	MGI:96759;MGI:96759;MGI:96759	361	13681447.51	159.19	388.36000000000001	23.93	19.690000000000001	988.38999999999999
IPI00317590.5;IPI00851049.1;IPI00620156.1;IPI00474174.1;IPI00275455.2;IPI00268802.1;IPI00111248.1;IPI00381655.4;IPI00669224.2;IPI00377406.5	40S ribosomal protein S18;Ke-3;Ribosomal protein S18 (Rps18) pseudogene;MCG116671	Rps18;OTTMUSG00000000655;RP23-371K8.1-001;mCG_116671	P62270;Q3TW65;Q561N5;Q5SVZ5	NP_035426;XP_001477246;XP_001473856;XP_001477784;XP_001478120;XP_001479425;XP_001479429;XP_001479534;XP_001479543;XP_001474233;XP_001477576;XP_357690;XP_917433	NA	ENSMUST00000008812;ENSMUST00000080443	MGI:98146;MGI:3649931	152	9989847.01	169.16	"NA"	"NA"	"NA"	"NA"
IPI00137787.3	60S ribosomal protein L8	Rpl8	P62918;Q3THC7;Q3UJS0;Q9Z237	NP_036183	NM_012053	ENSMUST00000004072	MGI:1350927	257	8070489.26	111.15	1517.9000000000001	14.94	102.56	157.59999999999999
IPI00122421.5;IPI00623893.2;IPI00648920.2	60S ribosomal protein L27	Rpl27	P61358;Q5BLJ9;Q9CSM4	NP_035419;XP_001473243;XP_984488;XP_894897;XP_922849	NA	ENSMUST00000077856;ENSMUST00000097682;ENSMUST00000107249	MGI:98036	136	11966328.12	51.91	"NA"	"NA"	"NA"	"NA"
IPI00331092.7;IPI00752798.2;IPI00471047.2;IPI00116049.1	40S ribosomal protein S4, X isoform;Putative uncharacterized protein;Ribosomal protein S4, Y-linked 2;RIKEN cDNA 1110033J19	Rps4x;Rps4;Rps4y2;1110033J19Rik;RP23-251M14.2-001;mCG_49215	P62702;Q3UXQ6;Q545F8;Q545X8;Q3V1Z5	NP_033120;NP_001074505	NM_009094	ENSMUST00000033683;ENSMUST00000071745	MGI:98158;MGI:1913434	263	10136999.97	89.04	"NA"	12.279999999999999	160.43000000000001	"NA"
IPI00465880.4;IPI00277965.3;IPI00938493.1;IPI00850702.1;IPI00756610.2	40S ribosomal protein S17	Rps17	P63276;Q3TK12;Q5M9L7;Q8BT90	NP_033118	NA	ENSMUST00000080813	MGI:1309526	135	11647519.06	117.37	"NA"	"NA"	"NA"	"NA"
IPI00308885.6;IPI00845678.1;IPI00830313.1;IPI00830195.2;IPI00749932.1;IPI00853695.1	60 kDa heat shock protein, mitochondrial;Heat shock protein 60;60 kDa chaperonin;Chaperonin 60;Mitochondrial matrix protein P1;HSP-65	Hspd1;Hsp60	P63038-1;P63038	NP_034607	NM_010477	ENSMUST00000027123	MGI:96242	573	11850629.8	214.8	230.34999999999999	13.25	24.260000000000002	1266.4100000000001
IPI00118676.3;IPI00929797.1;IPI00857870.1;IPI00857990.1	Eukaryotic initiation factor 4A-I;ATP-dependent RNA helicase eIF4A-1;Putative uncharacterized protein	Eif4a1;Ddx2a;Eif4a	P60843;Q3TFG3;Q3TGK7;Q3U8I0;Q3UXC2;Q4FZL1;Q5F2A7;Q99LR0;Q3TLL6;Q3TSJ4;Q78WR5	NP_659207;NP_001152847	NM_144958	ENSMUST00000102589	MGI:95303;MGI:95303	406	12549328.8	47.91	138.56	5.8600000000000003	19.170000000000002	3400.9499999999998
IPI00121788.1;IPI00648615.3;IPI00648105.1;IPI00848536.1;IPI00605254.5;IPI00649645.1;IPI00853723.1	Peroxiredoxin-1;Thioredoxin peroxidase 2;Thioredoxin-dependent peroxide reductase 2;Osteoblast-specific factor 3;Macrophage 23 kDa stress protein;Peroxiredoxin 1	Prdx1;Msp23;Paga;Tdpx2;RP23-177C18.2-006;RP23-177C18.2-004;RP23-177C18.2-002	P35700;B1AXW7;Q3U9J9;B1AXW6;B1AXW5;B1AXW4	NP_035164;XP_922530;XP_001003388	NM_011034	ENSMUST00000030454;ENSMUST00000106470	MGI:99523	199	12537698.41	187.52	182.56999999999999	15.470000000000001	12.039999999999999	1862.04
IPI00139795.2;IPI00742383.1	60S acidic ribosomal protein P2	Rplp2	P99027	NP_080296;XP_001479482;XP_001479486	NM_026020	ENSMUST00000084434;ENSMUST00000106003;ENSMUST00000106004	MGI:1914436	115	11941593.22	61.08	"NA"	21.989999999999998	"NA"	"NA"
IPI00230623.8;IPI00889220.2;IPI00128267.4;IPI00113884.4	60S ribosomal protein L32	Rpl32	P62911;Q5PR09	NP_742083;NP_001095031	NM_172086	ENSMUST00000081840	MGI:98038	135	7144969.73	179.27	812.49000000000001	15.09	54.460000000000001	240.36000000000001
IPI00420726.3;IPI00856235.1;IPI00918411.1;IPI00880750.1;IPI00857782.1;IPI00858267.1	40S ribosomal protein S9;Rps9 protein	Rps9	Q6ZWN5;Q96EC0;Q9CXW7	NP_084043	NM_029767	ENSMUST00000006496;ENSMUST00000108625;ENSMUST00000108623	MGI:1924096;MGI:1924096	194	10084634.81	172.09	583.5	15.300000000000001	38.840000000000003	475.08999999999997
IPI00230133.5	Histone H1.5;H1 VAR.5;H1b	Hist1h1b;H1f5	P43276;Q1WWK3;Q5T003	NP_064418	NA	ENSMUST00000080511	MGI:1861461	223	7319745.87	80.35	"NA"	"NA"	"NA"	"NA"
IPI00420261.5;IPI00665601.1;IPI00458851.2;IPI00753905.3;IPI00761360.1;IPI00853656.1;IPI00621282.3;IPI00752229.2;IPI00848872.1;IPI00849249.1;IPI00461809.1;IPI00554889.1;IPI00229570.1;IPI00664560.2;IPI00377392.3;IPI00848984.1;IPI00330925.1;IPI00674535.1	High mobility group protein B1;High mobility group protein 1	Hmgb1;Hmg-1;Hmg1	P63158;Q3UBK2;Q3UJK0;Q497Z6;Q58EV5;Q6P202;Q8BNM0;Q8BQ02;Q8C7C4	NP_034569;XP_001476657;XP_918585;XP_001475240;XP_889413;XP_001475264;XP_001476147	NA	ENSMUST00000085546;ENSMUST00000093196;ENSMUST00000110505	MGI:96113	215	8427970.11	131.48	"NA"	"NA"	"NA"	"NA"
IPI00230427.5;IPI00606310.1;IPI00122073.1;IPI00671402.1	Macrophage migration inhibitory factor;Phenylpyruvate tautomerase;L-dopachrome tautomerase;L-dopachrome isomerase;Glycosylation-inhibiting factor;Delayed early response protein 6	Mif	P34884;Q545F0	NP_034928;XP_001481125;XP_001481126	NM_010798	ENSMUST00000038169	MGI:96982	115	9122432.42	395.54	1077.6700000000001	26.77	52.140000000000001	217.47
IPI00132460.1;IPI00649136.1;IPI00880492.1;IPI00874521.1;IPI00118166.1;IPI00474008.2;IPI00918226.1;IPI00756343.3;IPI00845657.1;IPI00227190.8	60S ribosomal protein L26;Silica-induced gene 20 protein;Ribosomal protein L26	Rpl26;RP23-396M19.1-002;RP23-396M19.1-003	P61255;Q3U7N1;Q4FZH2;B1ARA5;B1ARA3	NP_033106;XP_138109;XP_920936	NM_009080	ENSMUST00000073471;ENSMUST00000101014	MGI:106022	145	7255397.35	136.95	675.80999999999995	11.6	54.619999999999997	305.60000000000002
IPI00620256.3;IPI00400300.1;IPI00230435.1;IPI00886130.1	Lamin-A/C	Lmna;Lmn1	P48678-1;P48678;B3RH23;Q3U7I5;Q3UCU3;Q8BNX5;P48678-2;B3RH24;Q3U733;P48678-3;Q9CTL2	NP_001002011;NP_001104572;NP_062263	NM_001002011	ENSMUST00000029699	MGI:96794;MGI:96794;MGI:96794	665	9696206.57	89.46	238.28	18.789999999999999	13.91	1277.6300000000001
IPI00263879.4;IPI00625702.1;IPI00120674.2;IPI00668025.2;IPI00886087.1	60S ribosomal protein L35	Rpl35	Q6ZWV7	NP_079868;XP_001472032;XP_001472447;XP_001475518	NA	ENSMUST00000080861;ENSMUST00000102782	MGI:1913739	123	9631991.31	177.85	"NA"	"NA"	"NA"	"NA"
